Znak,P1_1,P1_2,P2_1,P2_2,P3_1,P3_2,P4_1,P4_2,P5_1,P5_2
a,26589,9495,16684,16030,16382,16635,26568,16765,13816,14293
a,26585,9985,15213,14936,14870,16660,26192,15360,11791,14878
a,26583,10049,15207,14924,14869,16654,26199,15363,11788,14875
a,26583,9564,15219,14964,14872,16669,26171,15351,11784,14880
a,26583,9481,16681,16040,16378,16646,26568,16758,13814,14298
a,26582,10043,15200,14911,14867,16653,26206,15365,11784,14881
a,26581,9535,15204,15041,14862,16673,26109,15316,11766,14848
a,26580,10047,15204,14917,14867,16655,26203,15362,11785,14881
a,26578,22652,14584,15089,12827,16311,15996,13886,11461,14081
a,26578,10049,15208,14929,14868,16657,26195,15361,11789,14878
a,26578,9423,15237,16493,13183,17019,17742,14396,12199,15076
a,26578,9424,15237,16493,13183,17020,17742,14396,12202,15078
a,26578,9436,15239,16508,13191,17031,17752,14400,12204,15084
a,26577,9520,15198,15027,14861,16674,26117,15317,11764,14854
a,26577,9281,15084,14971,13945,16002,16428,14068,12504,24860
a,26577,9387,15228,16458,13157,16994,17720,14379,12182,15052
a,26577,9392,15226,16464,13162,16996,17722,14385,12185,15059
a,26577,9423,15236,16488,13181,17016,17739,14395,12198,15071
a,26577,9436,15237,16499,13186,17025,17745,14396,12201,15080
a,26577,9425,15237,16499,13186,17025,17747,14399,12202,15083
a,26577,9436,15238,16506,13189,17029,17749,14399,12202,15087
a,26577,9449,15243,16516,13193,17035,17753,14400,12203,15086
a,26576,9393,15229,16467,13168,17004,17728,14386,12188,15058
a,26576,9386,15230,16471,13168,17004,17731,14389,12190,15059
a,26576,9389,15232,16474,13172,17005,17730,14389,12193,15067
a,26576,9405,15232,16479,13176,17010,17733,14391,12194,15073
a,26576,9426,15236,16506,13188,17027,17749,14399,12200,15083
a,26576,9452,15245,16520,13196,17040,17758,14404,12210,15093
a,26576,9453,15243,16523,13199,17044,17761,14404,12210,15094
a,26576,9795,16213,16591,15856,17290,17680,15788,13260,15127
a,26575,9391,15228,16467,13166,17000,17725,14385,12186,15060
a,26575,9400,15234,16477,13172,17007,17734,14391,12193,15069
a,26575,9419,15237,16491,13183,17018,17740,14394,12198,15075
a,26575,9454,15241,16520,13197,17042,17758,14404,12208,15094
a,26575,9457,15246,16525,13200,17046,17762,14407,12214,15097
a,26574,9393,15227,16461,13160,16997,17722,14382,12182,15052
a,26574,9455,15243,16517,13194,17039,17759,14403,12205,15091
a,26574,9454,15245,16523,13199,17046,17761,14406,12211,15096
a,26573,9540,15207,15055,14864,16676,26101,15315,11763,14844
a,26573,9427,15235,16493,13184,17021,17744,14395,12199,15077
a,26573,9450,15242,16514,13193,17038,17756,14402,12205,15090
a,26573,9565,16654,16118,16343,16709,26571,16695,13814,14320
a,26572,9461,15246,16526,13201,17048,17760,14408,12215,15097
a,26572,9458,15246,16529,13203,17048,17764,14409,12216,15098
a,26571,9475,15250,16537,13210,17057,17769,14415,12228,15101
a,26571,9493,15255,16545,13217,17060,17773,14419,12234,15107
a,26570,9922,15217,14946,14871,16664,26187,15359,11788,14875
a,26570,9839,15222,14958,14876,16667,26177,15353,11789,14877
a,26570,9461,15248,16534,13206,17054,17767,14413,12224,15099
a,26570,9470,15250,16534,13207,17053,17769,14413,12225,15101
a,26570,9466,15250,16537,13209,17057,17768,14414,12225,15102
a,26570,9487,15250,16539,13210,17056,17772,14416,12229,15102
a,26570,9487,15251,16540,13212,17058,17774,14417,12230,15105
a,26570,9494,15252,16541,13214,17059,17775,14417,12232,15106
a,26570,9498,15254,16542,13215,17059,17774,14416,12231,15107
a,26568,10422,14916,14696,14593,16564,26238,15255,11662,14809
a,26568,9556,15197,15002,14859,16665,26140,15329,11763,14861
a,26568,9535,15195,15011,14861,16671,26131,15324,11762,14860
a,26568,9544,15209,15061,14867,16677,26091,15311,11763,14844
a,26567,9526,15198,15016,14860,16670,26124,15321,11762,14858
a,26567,9403,15260,16564,13316,17069,17782,14469,12299,15098
a,26565,9844,15220,14956,14876,16667,26180,15358,11788,14875
a,26564,9532,15219,15078,14877,16680,26054,15297,11755,14830
a,26562,9758,15213,14976,14874,16666,26160,15345,11778,14871
a,26561,9854,15217,14952,14873,16665,26182,15357,11789,14875
a,26561,9794,16216,16592,15858,17293,17677,15786,13259,15128
a,26560,9602,15203,14998,14864,16669,26151,15334,11767,14857
a,26560,9794,16214,16593,15857,17292,17681,15790,13261,15128
a,26548,9546,15218,15077,14874,16682,26062,15302,11758,14835
a,26545,10214,15099,14808,14767,16609,26199,15316,11729,14805
a,26544,10002,15193,14902,14865,16651,26210,15366,11782,14884
a,26541,9498,16678,16048,16373,16653,26567,16751,13814,14303
a,26541,9842,16213,16589,15854,17291,17677,15787,13258,15131
a,26538,9502,15225,15095,14885,16684,26027,15286,11745,14818
a,26538,9807,16201,16556,15837,17271,17653,15769,13241,15149
a,26536,9522,15223,15085,14879,16682,26044,15295,11752,14827
a,26536,9514,15225,15089,14881,16683,26036,15289,11747,14823
a,26535,22759,14772,14926,12816,16301,16053,13942,11516,14136
a,26534,9505,15228,15115,14890,16689,25984,15265,11731,14802
a,26533,9498,15227,15103,14888,16686,26015,15279,11741,14814
a,26533,9503,15230,15110,14889,16687,25995,15270,11736,14808
a,26529,9503,15228,15108,14886,16686,26005,15275,11739,14811
a,26529,9507,15228,15120,14890,16692,25974,15265,11731,14798
a,26526,9615,15077,14944,13930,15976,16420,14112,12551,13984
a,26526,9733,15140,15110,14042,16102,16500,14184,12586,13966
a,26525,9736,15157,15142,14070,16117,16517,14210,12607,13983
a,26524,9722,15128,15072,14011,16075,16431,14121,12531,24639
a,26524,9825,15127,15094,14015,16085,16439,14125,12533,24587
a,26524,9783,15128,15094,14016,16089,16443,14126,12534,24559
a,26524,9736,15143,15114,14046,16103,16453,14144,12548,23046
a,26524,9777,15158,15145,14074,16120,16522,14212,12608,13987
a,26524,9713,15162,15171,14081,16146,16539,14219,12615,14002
a,26523,9706,15124,15059,14008,16067,16421,14118,12528,24622
a,26523,9746,15129,15090,14014,16083,16437,14124,12533,24612
a,26523,9723,15130,15098,14019,16091,16502,14175,12581,13971
a,26523,9679,15134,15104,14024,16097,16492,14136,12576,13986
a,26523,9749,15160,15161,14077,16135,16530,14215,12612,13983
a,26523,9802,15159,15176,14081,16151,16484,14168,12568,24539
a,26522,9717,15127,15077,14013,16077,16431,14119,12533,24630
a,26522,9719,15128,15085,14014,16081,16433,14122,12532,24601
a,26522,9731,15131,15101,14021,16094,16505,14165,12584,13973
a,26522,9692,15138,15108,14037,16102,16497,14178,12579,13993
a,26522,9712,15145,15124,14049,16106,16504,14147,12557,13952
a,26522,9782,15157,15133,14065,16112,16469,14168,12565,21626
a,26522,9749,15158,15144,14073,16118,16519,14212,12608,13985
a,26522,9787,15159,15151,14073,16125,16524,14215,12608,13987
a,26522,9727,15159,15153,14075,16130,16526,14215,12611,13989
a,26522,9782,15158,15153,14076,16132,16528,14216,12611,13979
a,26522,9799,15162,15168,14079,16142,16536,14220,12614,13985
a,26522,9720,15160,15179,14081,16153,16486,14170,12571,24638
a,26521,9762,15127,15067,14011,16074,16425,14119,12530,24629
a,26521,9742,15155,15129,14060,16107,16460,14158,12559,22450
a,26521,9747,15159,15137,14068,16112,16461,14166,12602,13982
a,26520,9770,15156,15140,14070,16113,16515,14209,12605,13983
a,26520,9760,15158,15146,14073,16125,16525,14214,12608,13989
a,26520,9755,15162,15164,14079,16142,16536,14216,12615,13983
a,26519,9717,15123,15055,14007,16067,16421,14117,12529,24628
a,26519,9734,15126,15063,14009,16069,16425,14119,12529,24620
a,26519,9813,15161,15160,14078,16139,16533,14217,12614,13985
a,26519,9776,15161,15172,14078,16150,16538,14219,12615,13984
